Name,active,url,name,start,end,pos,height,weight,birthdate,college
Efthimi Rentzias,0,http://www.basketball-reference.com/players/r/rentzef01.html,Efthimi Rentzias,2003,2003,C,6-11,250,"January 11, 1976",
Tyus Jones,1,http://www.basketball-reference.com/players/j/jonesty01.html,Tyus Jones,2016,2016,G,6-2,195,"May 10, 1996",Duke University
Tom Thacker,0,http://www.basketball-reference.com/players/t/thackto01.html,Tom Thacker,1964,1971,G-F,6-2,170,"November 2, 1939",University of Cincinnati
Bill Davis,0,http://www.basketball-reference.com/players/d/davisbi01.html,Bill Davis,1947,1947,F,6-3,215,"October 3, 1921",University of Notre Dame
Carlos Delfino,1,http://www.basketball-reference.com/players/d/delfica01.html,Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982",
Kenny Carr,0,http://www.basketball-reference.com/players/c/carrke01.html,Kenny Carr,1978,1987,F,6-7,220,"August 15, 1955",North Carolina State University
Mark McNamara,0,http://www.basketball-reference.com/players/m/mcnamma01.html,Mark McNamara,1983,1991,C-F,6-11,235,"June 8, 1959",University of California
Maurice Cheeks,0,http://www.basketball-reference.com/players/c/cheekma01.html,Maurice Cheeks,1979,1993,G,6-1,180,"September 8, 1956",West Texas A&M University
Dallas Comegys,0,http://www.basketball-reference.com/players/c/comegda01.html,Dallas Comegys,1988,1989,F,6-9,205,"August 17, 1964",DePaul University
Martin Lewis,0,http://www.basketball-reference.com/players/l/lewisma01.html,Martin Lewis,1996,1997,F,6-5,210,"April 28, 1975",Seward County Community College
Stan McKenzie,0,http://www.basketball-reference.com/players/m/mckenst01.html,Stan McKenzie,1968,1974,F-G,6-5,195,"October 6, 1944",New York University
Dontae' Jones,0,http://www.basketball-reference.com/players/j/jonesdo01.html,Dontae' Jones,1998,1998,F,6-8,220,"June 2, 1975",Mississippi State University
Tom Gola*,0,http://www.basketball-reference.com/players/g/golato01.html,Tom Gola*,1956,1966,G-F,6-6,205,"January 13, 1933",La Salle University
Glenn Hansen,0,http://www.basketball-reference.com/players/h/hansegl01.html,Glenn Hansen,1976,1978,G,6-4,205,"April 21, 1952",Louisiana State University
J.J. Anderson,0,http://www.basketball-reference.com/players/a/anderjj01.html,J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley University
Kevin Duckworth,0,http://www.basketball-reference.com/players/d/duckwke01.html,Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University
Johnny Baum,0,http://www.basketball-reference.com/players/b/baumjo01.html,Johnny Baum,1970,1974,F,6-5,200,"June 17, 1946",Temple University
Desmond Ferguson,0,http://www.basketball-reference.com/players/f/fergude01.html,Desmond Ferguson,2004,2004,G-F,6-7,203,"July 22, 1977",University of Detroit Mercy
Paul Millsap,1,http://www.basketball-reference.com/players/m/millspa01.html,Paul Millsap,2007,2016,F,6-8,246,"February 10, 1985",Louisiana Tech University
Tyrone Corbin,0,http://www.basketball-reference.com/players/c/corbity01.html,Tyrone Corbin,1986,2001,G-F,6-6,210,"December 31, 1962",DePaul University
Doug Holcomb,0,http://www.basketball-reference.com/players/h/holcodo01.html,Doug Holcomb,1949,1949,F,6-4,200,"February 9, 1925",University of Wisconsin
Stan Noszka,0,http://www.basketball-reference.com/players/n/noszkst01.html,Stan Noszka,1947,1949,G,6-1,185,"September 9, 1920",Duquesne University
Jesse Branson,0,http://www.basketball-reference.com/players/b/bransje01.html,Jesse Branson,1966,1968,F,6-7,195,"January 7, 1942",Elon University
Howie Rader,0,http://www.basketball-reference.com/players/r/raderho01.html,Howie Rader,1949,1949,G-F,6-1,190,"March 29, 1921",Long Island University
Pat Riley*,0,http://www.basketball-reference.com/players/r/rileypa01.html,Pat Riley*,1968,1976,G-F,6-4,205,"March 20, 1945",University of Kentucky
Dennis Holman,0,http://www.basketball-reference.com/players/h/holmade01.html,Dennis Holman,1968,1968,G,6-3,175,"October 8, 1945",Southern Methodist University
Dillard Crocker,0,http://www.basketball-reference.com/players/c/crockdi01.html,Dillard Crocker,1949,1953,F-G,6-4,205,"January 19, 1925",Western Michigan University
Sam Williams,0,http://www.basketball-reference.com/players/w/willisa02.html,Sam Williams,1982,1985,F,6-8,210,"March 7, 1959",Arizona State University
Mel Thurston,0,http://www.basketball-reference.com/players/t/thursme01.html,Mel Thurston,1948,1948,G,6-0,175,"January 16, 1919",Canisius College
J.J. Barea,1,http://www.basketball-reference.com/players/b/bareajo01.html,J.J. Barea,2007,2016,G,6-0,185,"June 26, 1984",Northeastern University
Howie Wright,0,http://www.basketball-reference.com/players/w/wrighho01.html,Howie Wright,1971,1972,G,6-3,185,"February 22, 1947",Austin Peay State University
Dalibor Bagaric,0,http://www.basketball-reference.com/players/b/bagarda01.html,Dalibor Bagaric,2001,2003,C,7-1,255,"February 7, 1980",
Maurice Taylor,0,http://www.basketball-reference.com/players/t/tayloma01.html,Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976",University of Michigan
Bo Erias,0,http://www.basketball-reference.com/players/e/eriasbo01.html,Bo Erias,1958,1958,F,6-3,220,"July 30, 1932",Niagara University
Sasha Pavlovic,1,http://www.basketball-reference.com/players/p/pavloal01.html,Sasha Pavlovic,2004,2013,G-F,6-8,220,"November 15, 1983",
Reggie Bullock,1,http://www.basketball-reference.com/players/b/bullore01.html,Reggie Bullock,2014,2016,G-F,6-7,205,"March 16, 1991",University of North Carolina
Raja Bell,0,http://www.basketball-reference.com/players/b/bellra01.html,Raja Bell,2001,2012,G,6-5,204,"September 19, 1976",Florida International University
Mike Conley,1,http://www.basketball-reference.com/players/c/conlemi01.html,Mike Conley,2008,2016,G,6-1,175,"October 11, 1987",Ohio State University
Rich Niemann,0,http://www.basketball-reference.com/players/n/niemari01.html,Rich Niemann,1969,1972,C,7-0,245,"July 2, 1946",Saint Louis University
Bob Bedell,0,http://www.basketball-reference.com/players/b/bedelbo01.html,Bob Bedell,1968,1971,F,6-7,205,"June 26, 1944",Stanford University
Stanley Brundy,0,http://www.basketball-reference.com/players/b/brundst01.html,Stanley Brundy,1990,1990,F,6-6,210,"November 13, 1967",DePaul University
Henry Pearcy,0,http://www.basketball-reference.com/players/p/pearche01.html,Henry Pearcy,1947,1947,G,6-1,170,"July 21, 1922",Indiana State University
Michael Brooks,0,http://www.basketball-reference.com/players/b/brookmi01.html,Michael Brooks,1981,1988,F,6-7,220,"August 17, 1958",La Salle University
Marcus Thornton,1,http://www.basketball-reference.com/players/t/thornma01.html,Marcus Thornton,2010,2016,G,6-4,205,"June 5, 1987",Louisiana State University
Kenny Sears,0,http://www.basketball-reference.com/players/s/searske01.html,Kenny Sears,1956,1964,F,6-9,198,"August 17, 1933",Santa Clara University
Justin Dentmon,0,http://www.basketball-reference.com/players/d/dentmju01.html,Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985",University of Washington
Bob Knight,0,http://www.basketball-reference.com/players/k/knighbo01.html,Bob Knight,1955,1955,G-F,6-2,185,"April 30, 1929",
Michael Kidd-Gilchrist,1,http://www.basketball-reference.com/players/k/kiddgmi01.html,Michael Kidd-Gilchrist,2013,2015,F,6-7,232,"September 26, 1993",University of Kentucky
Ted Manakas,0,http://www.basketball-reference.com/players/m/manakte01.html,Ted Manakas,1974,1974,G,6-2,180,"February 22, 1951",Princeton University
Carl Meinhold,0,http://www.basketball-reference.com/players/m/meinhca01.html,Carl Meinhold,1948,1949,G-F,6-2,185,"March 29, 1926",Long Island University
Donnie Boyce,0,http://www.basketball-reference.com/players/b/boycedo01.html,Donnie Boyce,1996,1997,G,6-5,196,"September 2, 1973",University of Colorado
David Wood,0,http://www.basketball-reference.com/players/w/woodda01.html,David Wood,1989,1997,F,6-9,227,"November 30, 1964","University of Nevada, Reno"
Malik Sealy,0,http://www.basketball-reference.com/players/s/sealyma01.html,Malik Sealy,1993,2000,G,6-8,190,"February 1, 1970",St. John's University
Monta Ellis,1,http://www.basketball-reference.com/players/e/ellismo01.html,Monta Ellis,2006,2016,G,6-3,185,"October 26, 1985",
Gerry Ward,0,http://www.basketball-reference.com/players/w/wardge01.html,Gerry Ward,1964,1967,G,6-4,195,"September 6, 1941",Boston College
Vassilis Spanoulis,0,http://www.basketball-reference.com/players/s/spanova01.html,Vassilis Spanoulis,2007,2007,G,6-4,195,"August 7, 1982",
Samuel Little,0,http://www.basketball-reference.com/players/l/littlsa01.html,Samuel Little,1970,1970,G,6-0,180,"March 29, 1946",Delta State University
Odie Spears,0,http://www.basketball-reference.com/players/s/spearod01.html,Odie Spears,1949,1957,G,6-5,205,"June 26, 1925",Western Kentucky University
Jamaal Tinsley,1,http://www.basketball-reference.com/players/t/tinslja01.html,Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State University
Dewitt Menyard,0,http://www.basketball-reference.com/players/m/menyade01.html,Dewitt Menyard,1968,1968,C,6-10,210,"May 24, 1944",University of Utah
Howie McCarty,0,http://www.basketball-reference.com/players/m/mccarho01.html,Howie McCarty,1947,1947,F-G,6-2,190,,Wayne State University
Shelvin Mack,1,http://www.basketball-reference.com/players/m/macksh01.html,Shelvin Mack,2012,2016,G,6-3,203,"April 22, 1990",Butler University
Stephen Howard,0,http://www.basketball-reference.com/players/h/howarst01.html,Stephen Howard,1993,1998,F,6-9,225,"July 15, 1970",DePaul University
Howard Bayne,0,http://www.basketball-reference.com/players/b/bayneho01.html,Howard Bayne,1968,1968,F,6-6,235,"July 28, 1942",University of Tennessee
Nathan Jawai,0,http://www.basketball-reference.com/players/j/jawaina01.html,Nathan Jawai,2009,2010,F,6-10,280,"October 10, 1986",Midland College
Edwin Ubiles,0,http://www.basketball-reference.com/players/u/ubileed01.html,Edwin Ubiles,2012,2012,G,6-6,204,"November 26, 1986",Siena College
Javaris Crittenton,0,http://www.basketball-reference.com/players/c/crittja01.html,Javaris Crittenton,2008,2009,G,6-5,200,"December 31, 1987",Georgia Institute of Technology
Rodney McCray,0,http://www.basketball-reference.com/players/m/mccraro01.html,Rodney McCray,1984,1993,F-G,6-7,220,"August 29, 1961",University of Louisville
Alvan Adams,0,http://www.basketball-reference.com/players/a/adamsal01.html,Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma
Joe Mullaney,0,http://www.basketball-reference.com/players/m/mullajo01.html,Joe Mullaney,1950,1950,G,6-0,165,"November 17, 1925",College of the Holy Cross
Andre Turner,0,http://www.basketball-reference.com/players/t/turnean01.html,Andre Turner,1987,1992,G,5-11,160,"December 13, 1964",University of Memphis
Keith Benson,1,http://www.basketball-reference.com/players/b/bensoke02.html,Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland University
Oscar Torres,0,http://www.basketball-reference.com/players/t/torreos01.html,Oscar Torres,2002,2003,F,6-6,210,"December 18, 1976",
Curtis Perry,0,http://www.basketball-reference.com/players/p/perrycu01.html,Curtis Perry,1971,1978,F,6-7,220,"September 13, 1948",Missouri State University
Dave Batton,0,http://www.basketball-reference.com/players/b/battoda01.html,Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",University of Notre Dame
Jeff Nordgaard,0,http://www.basketball-reference.com/players/n/nordgje01.html,Jeff Nordgaard,1998,1998,F,6-7,225,"February 23, 1973",University of Wisconsin-Green Bay
Doug Christie,0,http://www.basketball-reference.com/players/c/chrisdo01.html,Doug Christie,1993,2007,G-F,6-6,200,"May 9, 1970",Pepperdine University
Bob Feerick,0,http://www.basketball-reference.com/players/f/feeribo01.html,Bob Feerick,1947,1950,F-G,6-3,190,"January 2, 1920",Santa Clara University
Matt Walsh,0,http://www.basketball-reference.com/players/w/walshma01.html,Matt Walsh,2006,2006,G-F,6-6,205,"December 2, 1982",University of Florida
Lionel Billingy,0,http://www.basketball-reference.com/players/b/billili01.html,Lionel Billingy,1975,1975,F-C,6-9,215,"August 31, 1952",Duquesne University
Matt Mazza,0,http://www.basketball-reference.com/players/m/mazzama01.html,Matt Mazza,1950,1950,F,6-3,210,"September 23, 1923",Michigan State University
Buck Williams,0,http://www.basketball-reference.com/players/w/willibu01.html,Buck Williams,1982,1998,F-C,6-8,215,"March 8, 1960",University of Maryland
Dontonio Wingfield,0,http://www.basketball-reference.com/players/w/wingfdo01.html,Dontonio Wingfield,1995,1998,F,6-8,256,"June 23, 1974",University of Cincinnati
Stephane Lasme,0,http://www.basketball-reference.com/players/l/lasmest01.html,Stephane Lasme,2008,2008,F,6-8,215,"December 17, 1982",University of Massachusetts Amherst
Logan Vander Velden,0,http://www.basketball-reference.com/players/v/vandelo01.html,Logan Vander Velden,1996,1996,F,6-8,215,"April 3, 1971",University of Wisconsin-Green Bay
Eric Murdock,0,http://www.basketball-reference.com/players/m/murdoer01.html,Eric Murdock,1992,2000,G,6-1,190,"June 14, 1968",Providence College
Sebastian Telfair,1,http://www.basketball-reference.com/players/t/telfase01.html,Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",
Jerry Rullo,0,http://www.basketball-reference.com/players/r/rulloje01.html,Jerry Rullo,1947,1950,G,5-10,165,"June 23, 1923",Temple University
John Garris,0,http://www.basketball-reference.com/players/g/garrijo01.html,John Garris,1984,1984,F,6-8,205,"June 6, 1959",Boston College
Tierre Brown,0,http://www.basketball-reference.com/players/b/brownti01.html,Tierre Brown,2002,2005,G,6-2,189,"June 3, 1979",McNeese State University
Butch Joyner,0,http://www.basketball-reference.com/players/j/joynebu01.html,Butch Joyner,1969,1969,F,6-5,200,"April 26, 1945",Indiana University
Luke Schenscher,0,http://www.basketball-reference.com/players/s/schenlu01.html,Luke Schenscher,2006,2007,C,7-1,255,"December 31, 1982",Georgia Institute of Technology
Jimmy Conner,0,http://www.basketball-reference.com/players/c/conneji01.html,Jimmy Conner,1976,1976,G,6-4,190,"March 20, 1953",University of Kentucky
Joe Kennedy,0,http://www.basketball-reference.com/players/k/kennejo01.html,Joe Kennedy,1969,1971,F,6-6,210,"January 12, 1947",Duke University
Mark Alarie,0,http://www.basketball-reference.com/players/a/alarima01.html,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University
Walter Berry,0,http://www.basketball-reference.com/players/b/berrywa01.html,Walter Berry,1987,1989,F,6-8,215,"May 14, 1964",St. John's University
Larry Sykes,0,http://www.basketball-reference.com/players/s/sykesla01.html,Larry Sykes,1996,1996,F,6-9,255,"April 11, 1973",Xavier University
Keith Lee,0,http://www.basketball-reference.com/players/l/leeke01.html,Keith Lee,1986,1989,F-C,6-10,215,"December 28, 1962",University of Memphis
Bill Garner,0,http://www.basketball-reference.com/players/g/garnebi01.html,Bill Garner,1968,1968,C,6-10,220,"June 17, 1940",University of Portland
Jack Rocker,0,http://www.basketball-reference.com/players/r/rockeja01.html,Jack Rocker,1948,1948,C-F,6-5,185,"August 12, 1922",University of California
Scott Skiles,0,http://www.basketball-reference.com/players/s/skilesc01.html,Scott Skiles,1987,1996,G,6-1,180,"March 5, 1964",Michigan State University
Bob Lackey,0,http://www.basketball-reference.com/players/l/lackebo01.html,Bob Lackey,1973,1974,G-F,6-5,200,"April 4, 1949",Marquette University
Jason Kidd,0,http://www.basketball-reference.com/players/k/kiddja01.html,Jason Kidd,1995,2013,G,6-4,205,"March 23, 1973",University of California
Al Carlson,0,http://www.basketball-reference.com/players/c/carlsal01.html,Al Carlson,1976,1976,C,6-11,235,"September 17, 1951",University of Oregon
Carl Shaeffer,0,http://www.basketball-reference.com/players/s/shaefca01.html,Carl Shaeffer,1950,1951,F-G,6-3,185,"October 25, 1924",University of Alabama
Paul Dawkins,0,http://www.basketball-reference.com/players/d/dawkipa01.html,Paul Dawkins,1980,1980,F,6-5,190,"June 10, 1957",Northern Illinois University
Al Miksis,0,http://www.basketball-reference.com/players/m/miksial01.html,Al Miksis,1950,1950,C,6-7,210,"February 2, 1928",Western Illinois University
Doc Rivers,0,http://www.basketball-reference.com/players/r/riverdo01.html,Doc Rivers,1984,1996,G,6-4,185,"October 13, 1961",Marquette University
Travis Best,0,http://www.basketball-reference.com/players/b/besttr01.html,Travis Best,1996,2005,G,5-11,182,"July 12, 1972",Georgia Institute of Technology
Al Beard,0,http://www.basketball-reference.com/players/b/beardal01.html,Al Beard,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State University
George Bon Salle,0,http://www.basketball-reference.com/players/b/bonsage01.html,George Bon Salle,1962,1962,F,6-8,220,"July 1, 1935",University of Illinois at Urbana-Champaign
Willie McCarter,0,http://www.basketball-reference.com/players/m/mccarwi01.html,Willie McCarter,1970,1972,G,6-3,175,"July 26, 1946",Drake University
Eddie Mast,0,http://www.basketball-reference.com/players/m/masted01.html,Eddie Mast,1971,1973,F-C,6-9,220,"October 3, 1948",Temple University
Vinnie Johnson,0,http://www.basketball-reference.com/players/j/johnsvi01.html,Vinnie Johnson,1980,1992,G,6-2,200,"September 1, 1956",Baylor University
George Glamack,0,http://www.basketball-reference.com/players/g/glamage01.html,George Glamack,1949,1949,C-F,6-6,225,"June 7, 1918",University of North Carolina
Georgi Glouchkov,0,http://www.basketball-reference.com/players/g/gloucge01.html,Georgi Glouchkov,1986,1986,F,6-8,235,"January 10, 1960",
Normie Glick,0,http://www.basketball-reference.com/players/g/glickno01.html,Normie Glick,1950,1950,F,6-7,190,"November 10, 1927",Loyola Marymount University
Billy Owens,0,http://www.basketball-reference.com/players/o/owensbi01.html,Billy Owens,1992,2001,F-G,6-8,220,"May 1, 1969",Syracuse University
Calvin Booth,0,http://www.basketball-reference.com/players/b/boothca01.html,Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Pennsylvania State University
Bernie Fryer,0,http://www.basketball-reference.com/players/f/fryerbe01.html,Bernie Fryer,1974,1975,G,6-3,185,"December 25, 1949",Brigham Young University
Russ Schoene,0,http://www.basketball-reference.com/players/s/schoeru01.html,Russ Schoene,1983,1989,F-C,6-10,210,"April 16, 1960",University of Tennessee at Chattanooga
Chris McCray,0,http://www.basketball-reference.com/players/m/mccrach01.html,Chris McCray,2007,2007,G,6-5,192,"May 27, 1984",University of Maryland
Sam Jacobson,0,http://www.basketball-reference.com/players/j/jacobsa01.html,Sam Jacobson,1999,2001,G-F,6-4,215,"July 22, 1975",University of Minnesota
Mike Davis,0,http://www.basketball-reference.com/players/d/davismi03.html,Mike Davis,1983,1983,F,6-10,230,"August 2, 1956",University of Maryland
Greg Minor,0,http://www.basketball-reference.com/players/m/minorgr01.html,Greg Minor,1995,1999,G-F,6-6,210,"September 18, 1971",University of Louisville
Shaun Livingston,1,http://www.basketball-reference.com/players/l/livinsh01.html,Shaun Livingston,2005,2016,G,6-7,182,"September 11, 1985",
Austin Croshere,0,http://www.basketball-reference.com/players/c/croshau01.html,Austin Croshere,1998,2009,F,6-9,235,"May 1, 1975",Providence College
LaRue Martin,0,http://www.basketball-reference.com/players/m/martila01.html,LaRue Martin,1973,1976,C,6-11,208,"March 30, 1950",Loyola University of Chicago
Tim Young,0,http://www.basketball-reference.com/players/y/youngti01.html,Tim Young,2000,2000,C,7-0,220,"February 6, 1976",Stanford University
Greg Stokes,0,http://www.basketball-reference.com/players/s/stokegr01.html,Greg Stokes,1986,1990,F-C,6-10,220,"August 5, 1963",University of Iowa
Wayne Sappleton,0,http://www.basketball-reference.com/players/s/sapplwa01.html,Wayne Sappleton,1985,1985,F,6-9,215,"November 17, 1960",Loyola University of Chicago
Dwight Jones,0,http://www.basketball-reference.com/players/j/jonesdw01.html,Dwight Jones,1974,1983,F-C,6-10,210,"February 27, 1952",University of Houston
Smush Parker,0,http://www.basketball-reference.com/players/p/parkesm01.html,Smush Parker,2003,2008,G,6-4,190,"June 1, 1981",Fordham University
Lars Hansen,0,http://www.basketball-reference.com/players/h/hansela01.html,Lars Hansen,1979,1979,C,6-10,225,"September 14, 1954",University of Washington
Curly Armstrong,0,http://www.basketball-reference.com/players/a/armstcu01.html,Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana University
Doron Lamb,1,http://www.basketball-reference.com/players/l/lambdo01.html,Doron Lamb,2013,2014,G,6-4,210,"November 6, 1991",University of Kentucky
Jabari Parker,1,http://www.basketball-reference.com/players/p/parkeja01.html,Jabari Parker,2015,2016,F,6-8,250,"March 15, 1995",Duke University
Phil Ford,0,http://www.basketball-reference.com/players/f/fordph01.html,Phil Ford,1979,1985,G,6-2,175,"February 9, 1956",University of North Carolina
Bud Ogden,0,http://www.basketball-reference.com/players/o/ogdenbu01.html,Bud Ogden,1970,1971,F,6-6,215,"December 29, 1946",Santa Clara University
Terry Duerod,0,http://www.basketball-reference.com/players/d/duerote01.html,Terry Duerod,1980,1983,G,6-2,180,"July 29, 1956",University of Detroit Mercy
Ron Williams,0,http://www.basketball-reference.com/players/w/williro01.html,Ron Williams,1969,1976,G,6-3,188,"September 24, 1944",West Virginia University
John Chaney,0,http://www.basketball-reference.com/players/c/chanejo01.html,John Chaney,1950,1950,F-C,6-3,185,"February 29, 1920",Louisiana State University
Rollie Seltz,0,http://www.basketball-reference.com/players/s/seltzro01.html,Rollie Seltz,1950,1950,G-F,5-10,165,"January 25, 1924",Hamline University
Dell Curry,0,http://www.basketball-reference.com/players/c/curryde01.html,Dell Curry,1987,2002,G,6-4,190,"June 25, 1964",Virginia Polytechnic Institute and State University
Rasho Nesterovic,0,http://www.basketball-reference.com/players/n/nestera01.html,Rasho Nesterovic,1999,2010,C,7-0,248,"May 30, 1976",
Wallace Bryant,0,http://www.basketball-reference.com/players/b/bryanwa01.html,Wallace Bryant,1984,1986,C,7-0,245,"July 14, 1959",University of San Francisco
Marv Schatzman,0,http://www.basketball-reference.com/players/s/schatma01.html,Marv Schatzman,1950,1950,F,6-5,200,"February 18, 1927",Saint Louis University
Charles Shackleford,0,http://www.basketball-reference.com/players/s/shackch01.html,Charles Shackleford,1989,1999,F-C,6-10,225,"April 22, 1966",North Carolina State University
Jim Washington,0,http://www.basketball-reference.com/players/w/washiji01.html,Jim Washington,1966,1976,F-C,6-6,210,"July 1, 1943",Villanova University
Craig Dykema,0,http://www.basketball-reference.com/players/d/dykemcr01.html,Craig Dykema,1982,1982,F,6-8,190,"June 11, 1959","California State University, Long Beach"
Louie Nelson,0,http://www.basketball-reference.com/players/n/nelsolo01.html,Louie Nelson,1974,1978,G,6-3,190,"May 28, 1951",University of Washington
Diante Garrett,1,http://www.basketball-reference.com/players/g/garredi02.html,Diante Garrett,2013,2014,G,6-4,190,"November 3, 1988",Iowa State University
Pape Sow,0,http://www.basketball-reference.com/players/s/sowpa01.html,Pape Sow,2005,2007,F,6-10,250,"November 22, 1981","California State University, Fullerton"
Tim Hardaway,1,http://www.basketball-reference.com/players/h/hardati02.html,Tim Hardaway,2014,2016,G,6-6,205,"March 16, 1992",University of Michigan
Ken Spain,0,http://www.basketball-reference.com/players/s/spainke01.html,Ken Spain,1971,1971,C,6-9,225,"October 6, 1946",University of Houston
Johnny Horan,0,http://www.basketball-reference.com/players/h/horanjo01.html,Johnny Horan,1956,1956,F,6-8,190,"November 24, 1932",University of Dayton
Mengke Bateer,0,http://www.basketball-reference.com/players/b/bateeme01.html,Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",
Arvesta Kelly,0,http://www.basketball-reference.com/players/k/kellyar01.html,Arvesta Kelly,1968,1972,G,6-2,175,"November 20, 1945",Lincoln University of Missouri
Toby Kimball,0,http://www.basketball-reference.com/players/k/kimbato01.html,Toby Kimball,1967,1975,F-C,6-6,220,"September 7, 1942",University of Connecticut
Clemon Johnson,0,http://www.basketball-reference.com/players/j/johnscl01.html,Clemon Johnson,1979,1988,C-F,6-10,240,"September 12, 1956",Florida Agricultural and Mechanical University
J.R. Bremer,0,http://www.basketball-reference.com/players/b/bremejr01.html,J.R. Bremer,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure University
Jack Thompson,0,http://www.basketball-reference.com/players/t/thompja01.html,Jack Thompson,1969,1969,G,6-1,185,"March 26, 1946",University of South Carolina
William Bedford,0,http://www.basketball-reference.com/players/b/bedfowi01.html,William Bedford,1987,1993,C,7-0,225,"December 14, 1963",University of Memphis
Chris Singleton,1,http://www.basketball-reference.com/players/s/singlch01.html,Chris Singleton,2012,2014,F,6-8,230,"November 21, 1989",Florida State University
Bostjan Nachbar,0,http://www.basketball-reference.com/players/n/nachbbo01.html,Bostjan Nachbar,2003,2008,F,6-9,221,"July 3, 1980",
Ed Nealy,0,http://www.basketball-reference.com/players/n/nealyed01.html,Ed Nealy,1983,1993,F,6-7,238,"February 19, 1960",Kansas State University
Earl Cureton,0,http://www.basketball-reference.com/players/c/curetea01.html,Earl Cureton,1981,1997,F-C,6-9,210,"September 3, 1957",University of Detroit Mercy
Jim Jackson,0,http://www.basketball-reference.com/players/j/jacksji01.html,Jim Jackson,1993,2006,G,6-6,220,"October 14, 1970",Ohio State University
Ronnie Lester,0,http://www.basketball-reference.com/players/l/lestero01.html,Ronnie Lester,1981,1986,G,6-2,175,"January 1, 1959",University of Iowa
Joe Hutton,0,http://www.basketball-reference.com/players/h/huttojo01.html,Joe Hutton,1951,1952,G,6-1,170,"October 6, 1928",Hamline University
Allan Houston,0,http://www.basketball-reference.com/players/h/houstal01.html,Allan Houston,1994,2005,G,6-6,200,"April 20, 1971",University of Tennessee
Cedric Maxwell,0,http://www.basketball-reference.com/players/m/maxwece01.html,Cedric Maxwell,1978,1988,F,6-8,205,"November 21, 1955",University of North Carolina at Charlotte
Lee Nailon,0,http://www.basketball-reference.com/players/n/nailole01.html,Lee Nailon,2001,2006,F,6-9,238,"February 22, 1975",Texas Christian University
Richard Moore,0,http://www.basketball-reference.com/players/m/mooreri01.html,Richard Moore,1968,1968,G,6-2,190,,Hiram Scott College
Ryan Bowen,0,http://www.basketball-reference.com/players/b/bowenry01.html,Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",University of Iowa
Brian Quinnett,0,http://www.basketball-reference.com/players/q/quinnbr01.html,Brian Quinnett,1990,1992,F,6-8,235,"May 30, 1966",Washington State University
Nick Calathes,1,http://www.basketball-reference.com/players/c/calatni01.html,Nick Calathes,2014,2015,G,6-6,213,"February 7, 1989",University of Florida
Jim Smith,0,http://www.basketball-reference.com/players/s/smithji01.html,Jim Smith,1982,1983,F,6-9,225,"April 12, 1958",Ohio State University
Ron Boone,0,http://www.basketball-reference.com/players/b/boonero01.html,Ron Boone,1969,1981,G-F,6-2,200,"September 6, 1946",Idaho State University
Charles Bradley,0,http://www.basketball-reference.com/players/b/bradlch01.html,Charles Bradley,1982,1984,G,6-5,215,"May 16, 1959",University of Wyoming
Delon Wright,1,http://www.basketball-reference.com/players/w/wrighde01.html,Delon Wright,2016,2016,G,6-5,190,"April 26, 1992",University of Utah
Marvin Webster,0,http://www.basketball-reference.com/players/w/webstma01.html,Marvin Webster,1976,1987,C,7-1,225,"April 13, 1952",Morgan State University
John Smith,0,http://www.basketball-reference.com/players/s/smithjo01.html,John Smith,1969,1970,C,7-0,235,"May 24, 1944",University of Southern Colorado
Mike Muscala,1,http://www.basketball-reference.com/players/m/muscami01.html,Mike Muscala,2014,2016,F-C,6-11,240,"July 1, 1991",Bucknell University
Wes Matthews,0,http://www.basketball-reference.com/players/m/matthwe01.html,Wes Matthews,1981,1990,G,6-1,170,"August 24, 1959",University of Wisconsin
Mustafa Shakur,1,http://www.basketball-reference.com/players/s/shakumu01.html,Mustafa Shakur,2011,2014,G,6-3,190,"August 18, 1984",University of Arizona
Timofey Mozgov,1,http://www.basketball-reference.com/players/m/mozgoti01.html,Timofey Mozgov,2011,2016,C,7-1,275,"July 16, 1986",
Patrick Mills,1,http://www.basketball-reference.com/players/m/millspa02.html,Patrick Mills,2010,2016,G,6-0,185,"August 11, 1988",Saint Mary's College of California
Peter Aluma,0,http://www.basketball-reference.com/players/a/alumape01.html,Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty University
